"Timestamp","เพศ","ช่วงอายุ","สถานภาพ","ท่านใช้สมาร์ทโฟนในการทำอะไรมากที่สุด","ท่านใช้สมาร์ทโฟนนานเท่าใดในหนึ่งวัน","สมาร์ทโฟนสำคัญในชีวิตประจำวันอย่างไร","ปัจจุบันท่านใช้สมาร์ทโฟนรุ่นใด"
"2023/12/16 10:22:21 pm GMT+7","ชาย","18-25","นักเรียน / นักศึกษา","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","Apple"
"2023/12/16 10:22:37 pm GMT+7","หญิง","26-32","บุคคลทั่วไป","ถ่ายรูป","มากกว่า 5 ชั่วโมง","สำคัญมาก","Apple"
"2023/12/16 10:23:30 pm GMT+7","Lgbtq+","33-40","บุคคลทั่วไป","คุยธุรกิจ / ทำงาน","3 - 5 ชั่วโมง","ปานกลาง","Samsung"
"2023/12/16 10:23:40 pm GMT+7","หญิง","26-32","บุคคลทั่วไป","ฟังเพลง","3 - 5 ชั่วโมง","สำคัญมาก","Samsung"
"2023/12/16 10:24:16 pm GMT+7","ชาย","26-32","บุคคลทั่วไป","คุยธุรกิจ / ทำงาน","0 - 1 ชั่วโมง","ปานกลาง","Oppo"
"2023/12/16 10:24:17 pm GMT+7","ชาย","41-50","อาจารย์","คุยธุรกิจ / ทำงาน","3 - 5 ชั่วโมง","ปานกลาง","Oppo"
"2023/12/16 10:24:35 pm GMT+7","หญิง","18-25","นักเรียน / นักศึกษา","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","Apple"
"2023/12/16 10:24:35 pm GMT+7","ชาย","18-25","นักเรียน / นักศึกษา","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมาก","Apple"
"2023/12/16 10:25:02 pm GMT+7","หญิง","18-25","นักเรียน / นักศึกษา","เล่นเกม","3 - 5 ชั่วโมง","สำคัญมากที่สุด","Apple"
"2023/12/16 10:25:16 pm GMT+7","lgbtq+","18-25","นักเรียน / นักศึกษา","Tiktok","มากกว่า 5 ชั่วโมง","สำคัญมาก","Apple"
"2023/12/16 10:25:17 pm GMT+7","ชาย","26-32","บุคคลทั่วไป","คุยธุรกิจ / ทำงาน","1 - 3 ชั่วโมง","สำคัญมากที่สุด","Apple"
"2023/12/16 10:26:30 pm GMT+7","หญิง","33-40","อาจารย์","คุยธุรกิจ / ทำงาน","มากกว่า 5 ชั่วโมง","สำคัญมาก","Samsung"
"2023/12/16 10:26:41 pm GMT+7","ชาย","33-40","อาจารย์","คุยธุรกิจ / ทำงาน","1 - 3 ชั่วโมง","ปานกลาง","Samsung"
"2023/12/16 10:27:03 pm GMT+7","ชาย","26-32","บุคคลทั่วไป","ฟังเพลง","3 - 5 ชั่วโมง","สำคัญน้อย","Samsung"
"2023/12/16 10:27:37 pm GMT+7","หญิง","26-32","บุคคลทั่วไป","เล่นโซเชียล facebook intragram X etc.","1 - 3 ชั่วโมง","สำคัญน้อย","Huawei"
"2023/12/16 10:28:25 pm GMT+7","ชาย","18-25","นักเรียน / นักศึกษา","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","Apple"
"2023/12/16 10:28:37 pm GMT+7","ชาย","41-50","บุคคลทั่วไป","ฟังข่าวออนไลน์","3 - 5 ชั่วโมง","สำคัญน้อย","Huawei"
"2023/12/16 10:28:57 pm GMT+7","หญิง","18-25","นักเรียน / นักศึกษา","เล่นโซเชียล facebook intragram X etc.","มากกว่า 5 ชั่วโมง","สำคัญมากที่สุด","Apple"
"2023/12/16 10:29:06 pm GMT+7","หญิง","18-25","นักเรียน / นักศึกษา","ถ่ายรูป","มากกว่า 5 ชั่วโมง","ปานกลาง","Apple"
"2023/12/16 10:29:10 pm GMT+7","ชาย","18-25","นักเรียน / นักศึกษา","เล่นเกม","มากกว่า 5 ชั่วโมง","สำคัญมาก","Apple"
